nom;type;url;adresse_complete;code_postal;ville;departement;telephone;email;latitude;longitude;google_maps;horaires
Acuitis Agen;Opticien à Agen;https://fr.acuitis.com/blogs/nos-boutiques/agen-optique;358 Avenue de l'Atlantique | Centre Commercial Intermarché - ZAC Agen Sud | 47000 Agen;47000;Agen;47;0553688729;agen@acuitis.com;44.18224;0.62015;https://www.google.com/maps/dir/?api=1&destination=44.18224%2C0.62015;monday: 09:30-19:00 | tuesday: 09:30-19:00 | wednesday: 09:30-19:00 | thursday: 09:30-19:00 | friday: 09:30-19:00 | saturday: 09:30-19:00 | sunday: fermé | 
Acuitis Aix Les Bains;Opticien à Aix Les Bains;https://fr.acuitis.com/blogs/nos-boutiques/aix-les-bains-optique;376 Rue de Genève | 73100 Aix-les-Bains;73100;Aix-les-Bains;73;0479883002;aixlesbains@acuitis.com;45.69279;5.9119;https://www.google.com/maps/dir/?api=1&destination=45.69279%2C5.9119;monday: 09:30-19:00 | tuesday: 09:30-19:00 | wednesday: 09:30-19:00 | thursday: 09:30-19:00 | friday: 09:30-19:00 | saturday: 09:30-19:00 | sunday: fermé | 
Acuitis Ajaccio;Opticien à Ajaccio;https://fr.acuitis.com/blogs/nos-boutiques/ajaccio-optique;Les Hameaux de Pernicaggio | Centre Commercial Atrium | 20167 Sarrola-Carcopino;20167;Sarrola-Carcopino;2A/2B;0495501010;ajaccio@acuitis.com;41.95334;8.79363;https://www.google.com/maps/dir/?api=1&destination=41.95334%2C8.79363;monday: 09:30-19:30 | tuesday: 09:30-19:30 | wednesday: 09:30-19:30 | thursday: 09:30-19:30 | friday: 09:30-19:30 | saturday: 09:30-19:30 | sunday: fermé | 
Acuitis Ales;Opticien à Ales;https://fr.acuitis.com/blogs/nos-boutiques/ales-optique;43 Avenue Carnot | 30100 Alès;30100;Alès;30;0466438209;ales@acuitis.com;44.12144;4.08612;https://www.google.com/maps/dir/?api=1&destination=44.12144%2C4.08612;monday: 09:30-19:00 | tuesday: 09:30-19:00 | wednesday: 09:30-19:00 | thursday: 09:30-19:00 | friday: 09:30-19:00 | saturday: 10:00-18:00 | sunday: fermé | 
Acuitis Anet;Opticien à Anet;https://fr.acuitis.com/blogs/nos-boutiques/anet-optique;24 Route d'Oulins | 28260 Anet;28260;Anet;28;0236690563;anet@acuitis.com;48.86526;1.4625;https://www.google.com/maps/dir/?api=1&destination=48.86526%2C1.4625;monday: 09:30-13:00 / 14:00-19:00 | tuesday: 09:30-13:00 / 14:00-19:00 | wednesday: 09:30-13:00 / 14:00-19:00 | thursday: 09:30-13:00 / 14:00-19:00 | friday: 09:30-13:00 / 14:00-19:00 | saturday: 09:30-18:00 | sunday: fermé | 
Acuitis Angers;Opticien à Angers;https://fr.acuitis.com/blogs/nos-boutiques/angers-optique;1 Place du Pilori | 49100 Angers;49100;Angers;49;0272470598;angers@acuitis.com;47.47341;-0.54967;https://www.google.com/maps/dir/?api=1&destination=47.47341%2C-0.54967;monday: 12:00-19:00 | tuesday: 10:00-19:00 | wednesday: 10:00-19:00 | thursday: 10:00-19:00 | friday: 10:00-19:00 | saturday: 10:00-19:00 | sunday: fermé | 
Acuitis Antibes;Opticien à Antibes;https://fr.acuitis.com/blogs/nos-boutiques/antibes-optique;50 Voie Marie Fischer | Centre Commercial Olympie | 06600 Antibes;06600;Antibes;06;0497281589;antibes@acuitis.com;43.59972;7.08516;https://www.google.com/maps/dir/?api=1&destination=43.59972%2C7.08516;monday: 09:30-19:30 | tuesday: 09:30-19:30 | wednesday: 09:30-19:30 | thursday: 09:30-19:30 | friday: 09:30-19:30 | saturday: 09:30-19:30 | sunday: fermé | 
Acuitis Ares;Opticien à Ares;https://fr.acuitis.com/blogs/nos-boutiques/ares-optique;Route de Bordeaux | Centre Commercial Leclerc les Portes du Bassin | 33740 Arès;33740;Arès;33;0557170376;ares@acuitis.com;44.7713288;-1.1134064;https://www.google.com/maps/dir/?api=1&destination=44.7713288%2C-1.1134064;monday: 09:30-19:30 | tuesday: 09:30-19:30 | wednesday: 09:30-19:30 | thursday: 09:30-19:30 | friday: 09:30-19:30 | saturday: 09:30-19:30 | sunday: fermé | 
Acuitis Arras;Opticien à Arras;https://fr.acuitis.com/blogs/nos-boutiques/arras-optique;3 Rue Wacquez Glasson | 62000 Arras;62000;Arras;62;0321247843;arras@acuitis.com;50.28971;2.77936;https://www.google.com/maps/dir/?api=1&destination=50.28971%2C2.77936;monday: 14:00-19:00 | tuesday: 09:30-19:00 | wednesday: 09:30-19:00 | thursday: 09:30-19:00 | friday: 09:30-19:00 | saturday: 09:30-19:00 | sunday: 14:00-18:00 | 
Acuitis Auxerre;Opticien à Auxerre;https://fr.acuitis.com/blogs/nos-boutiques/auxerre-optique;14 Avenue Jean Jaurès | Galerie marchande Leclerc | 89000 Auxerre;89000;Auxerre;89;0386941190;auxerre@acuitis.com;47.79748;3.57962;https://www.google.com/maps/dir/?api=1&destination=47.79748%2C3.57962;monday: 14:00-19:00 | tuesday: 09:30-19:00 | wednesday: 09:30-19:00 | thursday: 09:30-19:00 | friday: 09:30-19:00 | saturday: 09:30-18:00 | sunday: fermé | 
